date,Artificial Intelligence,Climate Change,Technology,isPartial
2024-12-31 07:04:00,9,4,100,False
2024-12-31 07:12:00,9,4,90,False
2024-12-31 07:20:00,9,6,91,False
2024-12-31 07:28:00,9,7,97,False
2024-12-31 07:36:00,8,5,93,False
2024-12-31 07:44:00,8,4,87,False
2024-12-31 07:52:00,9,4,77,False
2024-12-31 08:00:00,8,5,74,False
2024-12-31 08:08:00,7,4,79,False
2024-12-31 08:16:00,9,5,81,False
2024-12-31 08:24:00,10,4,80,False
2024-12-31 08:32:00,8,5,71,False
2024-12-31 08:40:00,7,4,85,False
2024-12-31 08:48:00,8,4,78,False
2024-12-31 08:56:00,8,2,77,False
2024-12-31 09:04:00,8,5,88,False
2024-12-31 09:12:00,9,5,82,False
2024-12-31 09:20:00,8,3,78,False
2024-12-31 09:28:00,7,7,84,False
2024-12-31 09:36:00,10,3,80,False
2024-12-31 09:44:00,8,4,84,False
2024-12-31 09:52:00,8,4,76,False
2024-12-31 10:00:00,6,5,83,False
2024-12-31 10:08:00,9,4,83,False
2024-12-31 10:16:00,8,5,79,False
2024-12-31 10:24:00,9,5,82,False
2024-12-31 10:32:00,6,4,77,False
2024-12-31 10:40:00,4,4,78,False
2024-12-31 10:48:00,6,3,86,False
2024-12-31 10:56:00,6,4,70,False
2024-12-31 11:04:00,7,5,68,False
2024-12-31 11:12:00,7,4,78,False
2024-12-31 11:20:00,6,4,70,False
2024-12-31 11:28:00,7,5,67,False
2024-12-31 11:36:00,8,5,70,False
2024-12-31 11:44:00,8,3,72,False
2024-12-31 11:52:00,6,3,66,False
2024-12-31 12:00:00,4,7,65,False
2024-12-31 12:08:00,5,5,68,False
2024-12-31 12:16:00,6,4,70,False
2024-12-31 12:24:00,5,3,64,False
2024-12-31 12:32:00,6,3,52,False
2024-12-31 12:40:00,4,6,53,False
2024-12-31 12:48:00,8,4,55,False
2024-12-31 12:56:00,7,4,58,False
2024-12-31 13:04:00,6,6,60,False
2024-12-31 13:12:00,7,3,63,False
2024-12-31 13:20:00,10,2,68,False
2024-12-31 13:28:00,8,6,57,False
2024-12-31 13:36:00,8,6,58,False
2024-12-31 13:44:00,8,5,59,False
2024-12-31 13:52:00,8,4,51,False
2024-12-31 14:00:00,9,2,66,False
2024-12-31 14:08:00,6,6,64,False
2024-12-31 14:16:00,6,3,55,False
2024-12-31 14:24:00,7,3,56,False
2024-12-31 14:32:00,10,5,55,False
2024-12-31 14:40:00,8,5,49,False
2024-12-31 14:48:00,6,4,60,False
2024-12-31 14:56:00,7,4,52,False
2024-12-31 15:04:00,16,4,52,False
2024-12-31 15:12:00,11,3,54,False
2024-12-31 15:20:00,14,3,49,False
2024-12-31 15:28:00,10,4,49,False
2024-12-31 15:36:00,10,4,51,False
2024-12-31 15:44:00,10,4,52,False
2024-12-31 15:52:00,9,3,50,False
2024-12-31 16:00:00,6,3,43,False
2024-12-31 16:08:00,7,3,44,False
2024-12-31 16:16:00,9,5,42,False
2024-12-31 16:24:00,6,0,53,False
2024-12-31 16:32:00,8,3,45,False
2024-12-31 16:40:00,8,2,42,False
2024-12-31 16:48:00,7,0,47,False
