"canDm","canMediaTag","code","createdAt","description","entities/description/urls/0/display_url","entities/description/urls/0/expanded_url","entities/description/urls/0/indices/0","entities/description/urls/0/indices/1","entities/description/urls/0/url","entities/url/urls/0/display_url","entities/url/urls/0/expanded_url","entities/url/urls/0/indices/0","entities/url/urls/0/indices/1","entities/url/urls/0/url","error","fastFollowersCount","favouritesCount","followerOf","followers","following","hasCustomTimelines","id","isTranslator","isVerified","listedCount","location","mediaCount","message","name","noResults","pinnedTweetIds/0","possiblySensitive","professional/category/0/icon_name","professional/category/0/id","professional/category/0/name","professional/professional_type","professional/rest_id","profilePicture","protected","status","statusesCount","twitterUrl","type","url","userName"
,,"C020",,,,,,,,,,,,,"true",,,,,,,,,,,,,"User: elonmusk not found",,"true",,,,,,,,,,,,,,,
"true","false",,"Sun Dec 06 23:33:02 +0000 2009","Best-Selling Author | Clinical Psychologist | #1 Education Podcast | Order my new book ""We Who Wrestle With God"" here:",,,,,,"jordanbpeterson.com/books","http://jordanbpeterson.com/books","0","23","https://t.co/KgUEvmxeQD",,"0","176","elonmusk","5858560","1674","true","95092020","false","true","14646","","7342",,"Dr Jordan B Peterson",,"1864757133600055337","false","IconBriefcaseStroke","144","Education","Creator","1680046132699840514","https://pbs.twimg.com/profile_images/1407056014776614923/TKBC60e1_normal.jpg","false","","51426","https://twitter.com/jordanbpeterson","user","https://x.com/jordanbpeterson","jordanbpeterson"
"false","true",,"Mon May 11 21:18:33 +0000 2009","",,,,,,"linktr.ee/donaldjtrumpjr","https://linktr.ee/donaldjtrumpjr","0","23","https://t.co/ni5HwFvEjX",,"0","37559","elonmusk","13481453","2114","true","39344374","false","true","22673","Florida, USA","3245",,"Donald Trump Jr.",,"1869752362476437662","false",,,,,,"https://pbs.twimg.com/profile_images/766652495858896897/LjrJJB9a_normal.jpg","false","","50739","https://twitter.com/DonaldJTrumpJr","user","https://x.com/DonaldJTrumpJr","DonaldJTrumpJr"
"true","true",,"Sat Jan 03 19:24:16 +0000 2009","Merch & Giveaways at: https://t.co/kxb8qjGCDW  —— PODCAST: @thetwinspod","officialhodgetwins.com","http://officialhodgetwins.com","22","45","https://t.co/kxb8qjGCDW","officialhodgetwins.com","https://officialhodgetwins.com","0","23","https://t.co/ybNwIM3aIe",,"0","14224","elonmusk","3178100","3318","false","18584875","false","true","4152","United States","3047",,"Hodgetwins",,"1872734941437641017","false","IconBriefcaseStroke","934","Social Media Influencer","Creator","1487870054645391361","https://pbs.twimg.com/profile_images/1526065785659002880/uIvydi_U_normal.jpg","false","","47832","https://twitter.com/hodgetwins","user","https://x.com/hodgetwins","hodgetwins"
"false","true",,"Mon Feb 15 16:05:21 +0000 2016","Fake news you can trust.
The Babylon Bee Guide To The Apocalypse— now available!",,,,,,"linktr.ee/babylonbee","https://linktr.ee/babylonbee","0","23","https://t.co/0PhJZklwkT",,"0","1792","elonmusk","4508307","10","false","4914384040","false","true","7758","United States","12986",,"The Babylon Bee",,"1856393052497096895","false","IconBriefcaseStroke","580","Media & News Company","Business","1649577634316304385","https://pbs.twimg.com/profile_images/1400100770624720898/-HC7kL5x_normal.jpg","false","","29905","https://twitter.com/TheBabylonBee","user","https://x.com/TheBabylonBee","TheBabylonBee"
"false","true",,"Tue Dec 16 17:20:24 +0000 2008","Proudly serving Ohio's beautiful Fourth District. Chairman @JudiciaryGOP, @Weaponization. Fighting to #DoWhatWeSaid",,,,,,"jordan.house.gov","http://jordan.house.gov/","0","23","https://t.co/yNasFtfE6G",,"0","5375","elonmusk","5834515","3668","true","18166778","false","true","11309","Washington, D.C. ","1862",,"Rep. Jim Jordan",,,"false",,,,,,"https://pbs.twimg.com/profile_images/596012379231617025/TtrAXbnA_normal.jpg","false","","14818","https://twitter.com/Jim_Jordan","user","https://x.com/Jim_Jordan","Jim_Jordan"
"false","true",,"Sat Jan 01 17:50:03 +0000 2011","Public Enemy #1",,,,,,"bongino.com","http://www.bongino.com","0","23","https://t.co/h3Y3otPk07",,"0","68614","elonmusk","6266706","2155","true","232901331","false","true","10630","Planet “Banned By YouTube” ","1764",,"Dan Bongino",,"1837130705500885396","false",,,,,,"https://pbs.twimg.com/profile_images/1484871034104958980/tA9vFFnu_normal.jpg","false","","48499","https://twitter.com/dbongino","user","https://x.com/dbongino","dbongino"
"false","false",,"Sat Dec 03 03:06:19 +0000 2011","Host of Lex Fridman Podcast.
Interested in robots and humans.",,,,,,"lexfridman.com/podcast","https://lexfridman.com/podcast","0","23","https://t.co/7AZXIxZ0sh",,"0","7922","elonmusk","4054313","397","true","427089628","false","true","11369","Austin and Boston","1145",,"Lex Fridman",,,"false",,,,,,"https://pbs.twimg.com/profile_images/1854713863817646088/nTmsz7jR_normal.jpg","false","","3640","https://twitter.com/lexfridman","user","https://x.com/lexfridman","lexfridman"
"true","false",,"Tue Dec 03 01:14:36 +0000 2019","Lauren Boebert for Congress: Congresswoman & candidate for CO-04. Professional RINO Hunter. Raising my boys to be MEN before liberals teach them to be women!",,,,,,"secure.winred.com/lauren-boebert…","https://secure.winred.com/lauren-boebert-for-congress/tw23","0","23","https://t.co/Fja3lXlS8M",,"0","6988","elonmusk","4184443","1471","true","1201670995435646976","false","true","5590","Colorado, USA","1135",,"Lauren Boebert",,"1769823824030192127","false",,,,"Creator","1633209344757059584","https://pbs.twimg.com/profile_images/1498803395578236934/vGGuE9-k_normal.jpg","false","","10095","https://twitter.com/laurenboebert","user","https://x.com/laurenboebert","laurenboebert"
"false","true",,"Sun Nov 22 22:32:41 +0000 2009","Author, Filmmaker, Host of the Dinesh D’Souza Podcast. Follow me on Locals: https://t.co/UDFY7UCJDc","dinesh.locals.com","http://dinesh.locals.com","76","99","https://t.co/UDFY7UCJDc","podcasts.apple.com/us/podcast/the…","https://podcasts.apple.com/us/podcast/the-dinesh-dsouza-podcast/id1547827376","0","23","https://t.co/hXjh7J5oW9",,"0","14728","elonmusk","4668733","8776","true","91882544","false","true","9943","United States","13940",,"Dinesh D'Souza",,"1851370108528349570","false","IconBriefcaseStroke","933","Media Personality","Creator","1797747077482442943","https://pbs.twimg.com/profile_images/890967538292711424/8puyFbiI_normal.jpg","false","","150219","https://twitter.com/DineshDSouza","user","https://x.com/DineshDSouza","DineshDSouza"
